sale_id,order_ref,order_date,year_number,quarter_number,month_number,month_name,year_month,is_complete_month,is_complete_year,customer_name,city_name,state_name,category_name,sub_category_name,payment_mode_name,quantity,amount,profit
18,B-25603,2020-04-18,2020,2,4,April,2020-04,1,1,Lauren Boyer,Dallas,Texas,Office Supplies,Markers,UPI,19,9272.0,1771.0
19,B-26656,2020-04-18,2020,2,4,April,2020-04,1,1,Linda Little,Tampa,Florida,Office Supplies,Pens,EMI,7,3573.0,562.0
20,B-26656,2020-04-18,2020,2,4,April,2020-04,1,1,Linda Little,Tampa,Florida,Electronics,Phones,EMI,10,8055.0,661.0
21,B-26257,2020-04-19,2020,2,4,April,2020-04,1,1,Joseph Clark,Cincinnati,Ohio,Furniture,Tables,Debit Card,14,5460.0,2088.0
22,B-25541,2020-04-22,2020,2,4,April,2020-04,1,1,Joseph Guerrero,Los Angeles,California,Furniture,Bookcases,UPI,10,2401.0,1163.0
23,B-25541,2020-04-22,2020,2,4,April,2020-04,1,1,Joseph Guerrero,Los Angeles,California,Electronics,Phones,Debit Card,11,1045.0,267.0
24,B-25707,2020-04-25,2020,2,4,April,2020-04,1,1,Kaitlin Brown,Dallas,Texas,Office Supplies,Pens,Debit Card,2,4904.0,469.0
25,B-25707,2020-04-25,2020,2,4,April,2020-04,1,1,Kaitlin Brown,Dallas,Texas,Office Supplies,Binders,UPI,6,3080.0,737.0
26,B-25846,2020-04-25,2020,2,4,April,2020-04,1,1,Erin Vasquez,Orlando,Florida,Electronics,Electronic Games,Debit Card,3,8706.0,1724.0
27,B-25251,2020-04-27,2020,2,4,April,2020-04,1,1,Donald York,Buffalo,New York,Furniture,Chairs,COD,6,2895.0,104.0
28,B-25251,2020-04-27,2020,2,4,April,2020-04,1,1,Donald York,Buffalo,New York,Furniture,Chairs,UPI,1,697.0,116.0
29,B-25684,2020-04-29,2020,2,4,April,2020-04,1,1,Duane Kelly,New York City,New York,Electronics,Electronic Games,COD,15,3560.0,1335.0
30,B-26679,2020-04-29,2020,2,4,April,2020-04,1,1,Richard Lee,Buffalo,New York,Office Supplies,Markers,UPI,5,8102.0,1800.0
31,B-26679,2020-04-29,2020,2,4,April,2020-04,1,1,Richard Lee,Buffalo,New York,Furniture,Tables,EMI,10,3234.0,1274.0
32,B-25363,2020-05-02,2020,2,5,May,2020-05,1,1,Robert Martinez,Houston,Texas,Electronics,Laptops,Credit Card,8,3918.0,749.0
33,B-26319,2020-05-02,2020,2,5,May,2020-05,1,1,Andrew Fernandez,Cincinnati,Ohio,Electronics,Electronic Games,EMI,16,7748.0,1706.0
34,B-26319,2020-05-02,2020,2,5,May,2020-05,1,1,Andrew Fernandez,Cincinnati,Ohio,Office Supplies,Markers,UPI,20,6381.0,2763.0
35,B-26319,2020-05-02,2020,2,5,May,2020-05,1,1,Andrew Fernandez,Cincinnati,Ohio,Electronics,Phones,Credit Card,6,992.0,64.0
36,B-25426,2020-05-04,2020,2,5,May,2020-05,1,1,Mary Taylor,Orlando,Florida,Office Supplies,Markers,Debit Card,1,6851.0,2812.0
37,B-25426,2020-05-04,2020,2,5,May,2020-05,1,1,Mary Taylor,Orlando,Florida,Furniture,Sofas,Credit Card,15,7626.0,1046.0
38,B-25426,2020-05-04,2020,2,5,May,2020-05,1,1,Mary Taylor,Orlando,Florida,Furniture,Tables,UPI,9,1023.0,78.0
39,B-25447,2020-05-04,2020,2,5,May,2020-05,1,1,Amber Kennedy,Tampa,Florida,Office Supplies,Paper,EMI,13,5028.0,1553.0
40,B-26137,2020-05-04,2020,2,5,May,2020-05,1,1,Laura Jordan,Dallas,Texas,Electronics,Printers,Credit Card,4,3423.0,804.0
41,B-26612,2020-05-04,2020,2,5,May,2020-05,1,1,Aaron Kim,Buffalo,New York,Electronics,Phones,Debit Card,9,6528.0,76.0
42,B-26612,2020-05-04,2020,2,5,May,2020-05,1,1,Aaron Kim,Buffalo,New York,Furniture,Sofas,Debit Card,12,8930.0,3374.0
43,B-25873,2020-05-11,2020,2,5,May,2020-05,1,1,William Rosario,Dallas,Texas,Electronics,Electronic Games,UPI,2,2684.0,713.0
44,B-26145,2020-05-13,2020,2,5,May,2020-05,1,1,Robert Michael,Austin,Texas,Furniture,Sofas,COD,12,7441.0,867.0
45,B-25983,2020-05-14,2020,2,5,May,2020-05,1,1,Ryan Bullock,Tampa,Florida,Office Supplies,Paper,Debit Card,10,6517.0,1581.0
46,B-25983,2020-05-14,2020,2,5,May,2020-05,1,1,Ryan Bullock,Tampa,Florida,Furniture,Tables,Credit Card,11,1166.0,349.0
47,B-26454,2020-05-17,2020,2,5,May,2020-05,1,1,Becky Leach,Miami,Florida,Furniture,Sofas,EMI,17,9109.0,586.0
48,B-25413,2020-05-22,2020,2,5,May,2020-05,1,1,James Williams,San Francisco,California,Office Supplies,Markers,Debit Card,18,2465.0,699.0
49,B-26656,2020-05-23,2020,2,5,May,2020-05,1,1,Matthew Huff,San Diego,California,Office Supplies,Pens,EMI,7,3573.0,562.0
50,B-26656,2020-05-23,2020,2,5,May,2020-05,1,1,Matthew Huff,San Diego,California,Electronics,Phones,EMI,10,8055.0,661.0
51,B-25369,2020-05-24,2020,2,5,May,2020-05,1,1,Lauren Jones,Cincinnati,Ohio,Electronics,Laptops,Credit Card,9,1579.0,602.0
52,B-25369,2020-05-24,2020,2,5,May,2020-05,1,1,Lauren Jones,Cincinnati,Ohio,Furniture,Chairs,EMI,19,3760.0,1849.0
53,B-25502,2020-05-24,2020,2,5,May,2020-05,1,1,Tammy Day,New York City,New York,Office Supplies,Pens,EMI,1,8490.0,800.0
54,B-26298,2020-06-02,2020,2,6,June,2020-06,1,1,Caitlin Hunt,Rochester,New York,Electronics,Phones,EMI,8,2082.0,642.0
55,B-26750,2020-06-07,2020,2,6,June,2020-06,1,1,Paul Zimmerman,Rochester,New York,Furniture,Sofas,Credit Card,7,5461.0,1214.0
56,B-26453,2020-06-16,2020,2,6,June,2020-06,1,1,Jordan Hahn,Rochester,New York,Electronics,Laptops,Debit Card,20,1231.0,214.0
57,B-25004,2020-06-17,2020,2,6,June,2020-06,1,1,Jennifer Marshall,San Francisco,California,Office Supplies,Markers,COD,16,9965.0,3033.0
58,B-25317,2020-06-21,2020,2,6,June,2020-06,1,1,Sharon Russell,San Diego,California,Electronics,Printers,COD,5,2472.0,211.0
59,B-26191,2020-06-21,2020,2,6,June,2020-06,1,1,James Bonilla,San Diego,California,Electronics,Phones,Credit Card,15,8994.0,1481.0
60,B-26743,2020-06-23,2020,2,6,June,2020-06,1,1,Jacob Carpenter,Buffalo,New York,Furniture,Sofas,COD,12,7684.0,1157.0
61,B-26909,2020-06-23,2020,2,6,June,2020-06,1,1,Daniel Brooks,Peoria,Illinois,Furniture,Sofas,EMI,4,7786.0,1202.0
62,B-25465,2020-06-24,2020,2,6,June,2020-06,1,1,Steven Frey,Miami,Florida,Furniture,Tables,Credit Card,16,717.0,158.0
63,B-25465,2020-06-24,2020,2,6,June,2020-06,1,1,Steven Frey,Miami,Florida,Furniture,Sofas,UPI,17,508.0,177.0
64,B-25138,2020-07-04,2020,3,7,July,2020-07,1,1,Sylvia Jenkins,New York City,New York,Office Supplies,Pens,Credit Card,4,1778.0,285.0
65,B-26120,2020-07-04,2020,3,7,July,2020-07,1,1,Kimberly Fuller,Cleveland,Ohio,Office Supplies,Pens,COD,8,2101.0,287.0
66,B-25387,2020-07-06,2020,3,7,July,2020-07,1,1,Amy Thompson,Cincinnati,Ohio,Office Supplies,Markers,UPI,5,9775.0,4507.0
67,B-26137,2020-07-09,2020,3,7,July,2020-07,1,1,Alan Livingston,Peoria,Illinois,Electronics,Printers,Credit Card,4,3423.0,804.0
68,B-26279,2020-07-12,2020,3,7,July,2020-07,1,1,Kristin Alvarez,Springfield,Illinois,Office Supplies,Markers,Credit Card,5,3747.0,410.0
69,B-26279,2020-07-12,2020,3,7,July,2020-07,1,1,Kristin Alvarez,Springfield,Illinois,Office Supplies,Binders,UPI,4,3194.0,534.0
70,B-26292,2020-07-13,2020,3,7,July,2020-07,1,1,Nathan Moss,Springfield,Illinois,Office Supplies,Pens,Debit Card,4,4183.0,1159.0
71,B-26088,2020-07-16,2020,3,7,July,2020-07,1,1,Natalie Cox,Orlando,Florida,Office Supplies,Pens,COD,20,6932.0,3218.0
72,B-26137,2020-07-25,2020,3,7,July,2020-07,1,1,Angela Jackson,Dallas,Texas,Electronics,Printers,Credit Card,4,3423.0,804.0
73,B-26929,2020-08-05,2020,3,8,August,2020-08,1,1,Kelly Roberts,Buffalo,New York,Furniture,Sofas,COD,1,6087.0,3043.0
74,B-26298,2020-08-07,2020,3,8,August,2020-08,1,1,Stephanie Oconnell,Buffalo,New York,Electronics,Phones,EMI,8,2082.0,642.0
75,B-25028,2020-08-09,2020,3,8,August,2020-08,1,1,Samantha Williams,Orlando,Florida,Office Supplies,Binders,UPI,12,1961.0,59.0
76,B-26106,2020-08-10,2020,3,8,August,2020-08,1,1,Mr. Gregg Sawyer,Peoria,Illinois,Furniture,Sofas,Debit Card,8,7952.0,3865.0
77,B-26565,2020-08-10,2020,3,8,August,2020-08,1,1,Maria Galvan,Columbus,Ohio,Office Supplies,Paper,Credit Card,7,9873.0,4585.0
78,B-25902,2020-08-11,2020,3,8,August,2020-08,1,1,Theresa Cline,Cleveland,Ohio,Electronics,Electronic Games,UPI,3,7493.0,96.0
79,B-25573,2020-08-16,2020,3,8,August,2020-08,1,1,Heather Johnson,Los Angeles,California,Furniture,Sofas,COD,1,2119.0,196.0
80,B-25660,2020-08-18,2020,3,8,August,2020-08,1,1,Steven Cox,Los Angeles,California,Furniture,Chairs,Debit Card,4,7595.0,2873.0
81,B-26219,2020-08-19,2020,3,8,August,2020-08,1,1,Mark Padilla,San Diego,California,Office Supplies,Markers,Credit Card,20,9386.0,2555.0
82,B-26032,2020-08-21,2020,3,8,August,2020-08,1,1,Scott Lewis,Houston,Texas,Electronics,Phones,COD,1,8346.0,1176.0
83,B-26032,2020-08-21,2020,3,8,August,2020-08,1,1,Scott Lewis,Houston,Texas,Furniture,Tables,Debit Card,5,6218.0,1125.0
84,B-26032,2020-08-21,2020,3,8,August,2020-08,1,1,Scott Lewis,Houston,Texas,Electronics,Printers,Credit Card,14,5167.0,253.0
85,B-26032,2020-08-21,2020,3,8,August,2020-08,1,1,Scott Lewis,Houston,Texas,Furniture,Sofas,Debit Card,5,2799.0,1239.0
86,B-25646,2020-08-24,2020,3,8,August,2020-08,1,1,Sharon Wilkins,Chicago,Illinois,Office Supplies,Paper,Credit Card,4,8979.0,4477.0
87,B-26806,2020-08-27,2020,3,8,August,2020-08,1,1,Laura Cole,Tampa,Florida,Furniture,Bookcases,EMI,3,4027.0,1386.0
88,B-26068,2020-08-28,2020,3,8,August,2020-08,1,1,Carol Norman,Rochester,New York,Furniture,Bookcases,COD,5,1033.0,254.0
89,B-26379,2020-09-01,2020,3,9,September,2020-09,1,1,Mike Armstrong,New York City,New York,Office Supplies,Pens,Credit Card,9,8681.0,2458.0
90,B-25733,2020-09-04,2020,3,9,September,2020-09,1,1,Manuel Stark,Springfield,Illinois,Electronics,Printers,UPI,10,4569.0,1693.0
91,B-26122,2020-09-08,2020,3,9,September,2020-09,1,1,Angela Norman,Springfield,Illinois,Office Supplies,Paper,UPI,20,4116.0,921.0
92,B-26599,2020-09-08,2020,3,9,September,2020-09,1,1,Jorge George,New York City,New York,Furniture,Chairs,Debit Card,15,4015.0,1751.0
93,B-25935,2020-09-09,2020,3,9,September,2020-09,1,1,Amanda Kim,Columbus,Ohio,Electronics,Laptops,Debit Card,15,3482.0,1554.0
94,B-25435,2020-09-10,2020,3,9,September,2020-09,1,1,Paul Scott,San Francisco,California,Furniture,Bookcases,UPI,3,3518.0,1051.0
95,B-25435,2020-09-10,2020,3,9,September,2020-09,1,1,Paul Scott,San Francisco,California,Electronics,Laptops,EMI,8,4157.0,1874.0
96,B-26841,2020-09-12,2020,3,9,September,2020-09,1,1,Jill Jones,New York City,New York,Furniture,Chairs,Debit Card,13,9827.0,4208.0
97,B-26841,2020-09-12,2020,3,9,September,2020-09,1,1,Jill Jones,New York City,New York,Furniture,Sofas,Credit Card,15,8077.0,240.0
98,B-25424,2020-09-15,2020,3,9,September,2020-09,1,1,Jill Perez,San Diego,California,Office Supplies,Pens,EMI,17,1574.0,258.0
99,B-25424,2020-09-15,2020,3,9,September,2020-09,1,1,Jill Perez,San Diego,California,Office Supplies,Binders,UPI,17,5635.0,318.0
100,B-25424,2020-09-15,2020,3,9,September,2020-09,1,1,Jill Perez,San Diego,California,Furniture,Sofas,Debit Card,11,6515.0,961.0
101,B-26505,2020-09-21,2020,3,9,September,2020-09,1,1,Mary Wright,Cincinnati,Ohio,Electronics,Phones,Debit Card,13,8158.0,2052.0
102,B-26790,2020-09-21,2020,3,9,September,2020-09,1,1,Jennifer Cooke,San Francisco,California,Furniture,Sofas,EMI,16,3445.0,1405.0
103,B-26790,2020-09-21,2020,3,9,September,2020-09,1,1,Jennifer Cooke,San Francisco,California,Electronics,Laptops,UPI,1,9837.0,384.0
104,B-26023,2020-09-26,2020,3,9,September,2020-09,1,1,Stephanie Gardner,San Diego,California,Electronics,Printers,UPI,19,1518.0,159.0
105,B-26501,2020-09-26,2020,3,9,September,2020-09,1,1,Ricky Smith,Miami,Florida,Furniture,Tables,EMI,7,8851.0,3962.0
106,B-25364,2020-09-30,2020,3,9,September,2020-09,1,1,Travis Chandler Dds,Rochester,New York,Electronics,Laptops,EMI,13,8649.0,2631.0
107,B-25919,2020-09-30,2020,3,9,September,2020-09,1,1,Jillian Williams,San Diego,California,Office Supplies,Paper,Credit Card,4,2140.0,970.0
108,B-25919,2020-09-30,2020,3,9,September,2020-09,1,1,Jillian Williams,San Diego,California,Electronics,Laptops,Debit Card,1,2670.0,1026.0
109,B-26878,2020-10-01,2020,4,10,October,2020-10,1,1,Jasmin Jones,Chicago,Illinois,Electronics,Phones,Credit Card,3,1078.0,309.0
110,B-26743,2020-10-02,2020,4,10,October,2020-10,1,1,Cameron Miller,Chicago,Illinois,Furniture,Sofas,COD,12,7684.0,1157.0
111,B-26794,2020-10-02,2020,4,10,October,2020-10,1,1,Colin Patterson,New York City,New York,Furniture,Bookcases,Debit Card,12,2137.0,638.0
112,B-26794,2020-10-02,2020,4,10,October,2020-10,1,1,Colin Patterson,New York City,New York,Furniture,Chairs,Debit Card,12,2831.0,1289.0
113,B-25060,2020-10-08,2020,4,10,October,2020-10,1,1,Jonathan Mcmillan,Buffalo,New York,Office Supplies,Pens,Credit Card,3,1379.0,250.0
114,B-25060,2020-10-08,2020,4,10,October,2020-10,1,1,Jonathan Mcmillan,Buffalo,New York,Electronics,Laptops,Debit Card,10,4244.0,340.0
115,B-26817,2020-10-11,2020,4,10,October,2020-10,1,1,Debra Townsend,Cincinnati,Ohio,Electronics,Laptops,COD,6,3316.0,126.0
116,B-25359,2020-10-15,2020,4,10,October,2020-10,1,1,Jack Woods,Peoria,Illinois,Furniture,Bookcases,Credit Card,3,611.0,300.0
117,B-25730,2020-10-17,2020,4,10,October,2020-10,1,1,Ms. Emily Baxter,Rochester,New York,Office Supplies,Binders,COD,8,8293.0,2632.0
118,B-25730,2020-10-17,2020,4,10,October,2020-10,1,1,Ms. Emily Baxter,Rochester,New York,Electronics,Phones,UPI,17,2863.0,205.0
119,B-25901,2020-10-20,2020,4,10,October,2020-10,1,1,Jeffrey Middleton,Buffalo,New York,Office Supplies,Paper,UPI,16,9883.0,4812.0
120,B-25901,2020-10-20,2020,4,10,October,2020-10,1,1,Jeffrey Middleton,Buffalo,New York,Office Supplies,Paper,UPI,7,5210.0,1185.0
121,B-26523,2020-10-20,2020,4,10,October,2020-10,1,1,Kristen Harper,Buffalo,New York,Office Supplies,Pens,UPI,6,8204.0,2382.0
122,B-26523,2020-10-20,2020,4,10,October,2020-10,1,1,Kristen Harper,Buffalo,New York,Electronics,Phones,EMI,6,2850.0,904.0
123,B-25679,2020-10-21,2020,4,10,October,2020-10,1,1,Jacob Decker,Tampa,Florida,Furniture,Bookcases,EMI,18,810.0,231.0
124,B-26580,2020-10-21,2020,4,10,October,2020-10,1,1,Kathryn Rogers,Columbus,Ohio,Furniture,Bookcases,COD,13,4007.0,201.0
125,B-26916,2020-10-21,2020,4,10,October,2020-10,1,1,Pamela Patterson,San Francisco,California,Office Supplies,Pens,UPI,7,916.0,362.0
126,B-26916,2020-10-21,2020,4,10,October,2020-10,1,1,Pamela Patterson,San Francisco,California,Furniture,Sofas,UPI,20,1165.0,302.0
127,B-26916,2020-10-21,2020,4,10,October,2020-10,1,1,Pamela Patterson,San Francisco,California,Furniture,Chairs,UPI,12,7846.0,677.0
128,B-25464,2020-10-23,2020,4,10,October,2020-10,1,1,Melissa Mcknight,Los Angeles,California,Furniture,Chairs,COD,4,6145.0,1414.0
129,B-25464,2020-10-23,2020,4,10,October,2020-10,1,1,Melissa Mcknight,Los Angeles,California,Electronics,Printers,UPI,18,2504.0,440.0
130,B-25464,2020-10-23,2020,4,10,October,2020-10,1,1,Melissa Mcknight,Los Angeles,California,Electronics,Phones,Debit Card,16,3124.0,138.0
131,B-26754,2020-10-26,2020,4,10,October,2020-10,1,1,Robin Myers,Dallas,Texas,Office Supplies,Markers,EMI,16,1089.0,176.0
132,B-25992,2020-10-27,2020,4,10,October,2020-10,1,1,Diana Scott,San Diego,California,Furniture,Tables,EMI,8,8572.0,2041.0
133,B-25992,2020-10-27,2020,4,10,October,2020-10,1,1,Diana Scott,San Diego,California,Electronics,Printers,Credit Card,10,8059.0,1834.0
134,B-25406,2020-10-28,2020,4,10,October,2020-10,1,1,Megan Williams,Chicago,Illinois,Office Supplies,Pens,UPI,20,6016.0,431.0
135,B-26043,2020-11-03,2020,4,11,November,2020-11,1,1,Sara Peterson,Chicago,Illinois,Office Supplies,Paper,UPI,20,8769.0,1989.0
136,B-25465,2020-11-06,2020,4,11,November,2020-11,1,1,Robert White,Orlando,Florida,Furniture,Tables,Credit Card,16,717.0,158.0
137,B-25465,2020-11-06,2020,4,11,November,2020-11,1,1,Robert White,Orlando,Florida,Furniture,Sofas,UPI,17,508.0,177.0
138,B-26552,2020-11-09,2020,4,11,November,2020-11,1,1,Larry Moore,Tampa,Florida,Electronics,Electronic Games,Credit Card,10,2804.0,936.0
139,B-25759,2020-11-10,2020,4,11,November,2020-11,1,1,Leah Calderon,Chicago,Illinois,Furniture,Chairs,COD,2,5014.0,2332.0
140,B-25976,2020-11-10,2020,4,11,November,2020-11,1,1,Francisco Hicks,Springfield,Illinois,Electronics,Electronic Games,UPI,3,4307.0,615.0
141,B-25976,2020-11-10,2020,4,11,November,2020-11,1,1,Francisco Hicks,Springfield,Illinois,Furniture,Chairs,EMI,5,5694.0,1134.0
142,B-25372,2020-11-16,2020,4,11,November,2020-11,1,1,Heather Jenkins,Buffalo,New York,Furniture,Tables,Debit Card,20,1016.0,172.0
143,B-25372,2020-11-16,2020,4,11,November,2020-11,1,1,Heather Jenkins,Buffalo,New York,Furniture,Tables,UPI,14,5768.0,2059.0
144,B-25372,2020-11-16,2020,4,11,November,2020-11,1,1,Heather Jenkins,Buffalo,New York,Furniture,Tables,Credit Card,3,1217.0,151.0
145,B-26677,2020-11-19,2020,4,11,November,2020-11,1,1,Randall Dennis,Orlando,Florida,Office Supplies,Paper,Debit Card,2,8581.0,2444.0
146,B-26554,2020-11-21,2020,4,11,November,2020-11,1,1,Jessica Jones,Peoria,Illinois,Office Supplies,Paper,Credit Card,5,7564.0,3463.0
147,B-26554,2020-11-21,2020,4,11,November,2020-11,1,1,Jessica Jones,Peoria,Illinois,Electronics,Electronic Games,UPI,20,3409.0,1605.0
148,B-26883,2020-11-23,2020,4,11,November,2020-11,1,1,Christian Jones,Buffalo,New York,Office Supplies,Pens,COD,13,9751.0,2459.0
149,B-25444,2020-11-25,2020,4,11,November,2020-11,1,1,Tony Chavez,Columbus,Ohio,Office Supplies,Pens,EMI,5,7626.0,229.0
150,B-26284,2020-11-27,2020,4,11,November,2020-11,1,1,Elizabeth Miller,Springfield,Illinois,Electronics,Phones,UPI,14,5152.0,2045.0
151,B-25104,2020-11-28,2020,4,11,November,2020-11,1,1,Paul Raymond,San Diego,California,Office Supplies,Binders,Debit Card,19,8971.0,2971.0
152,B-25104,2020-11-28,2020,4,11,November,2020-11,1,1,Paul Raymond,San Diego,California,Office Supplies,Binders,COD,20,2939.0,894.0
153,B-26896,2020-11-29,2020,4,11,November,2020-11,1,1,Morgan Sullivan,Houston,Texas,Electronics,Printers,EMI,18,6488.0,1591.0
154,B-25492,2020-11-30,2020,4,11,November,2020-11,1,1,Clarence Cooke,San Francisco,California,Furniture,Chairs,EMI,14,9279.0,552.0
155,B-25492,2020-11-30,2020,4,11,November,2020-11,1,1,Clarence Cooke,San Francisco,California,Office Supplies,Paper,Credit Card,19,2596.0,1003.0
156,B-25038,2020-12-05,2020,4,12,December,2020-12,1,1,Lisa Jacobs,Buffalo,New York,Furniture,Chairs,Debit Card,2,738.0,342.0
157,B-26677,2020-12-13,2020,4,12,December,2020-12,1,1,Philip Baker,Peoria,Illinois,Office Supplies,Paper,Debit Card,2,8581.0,2444.0
158,B-26739,2020-12-13,2020,4,12,December,2020-12,1,1,Robert Sexton,Los Angeles,California,Furniture,Tables,UPI,3,2689.0,1330.0
159,B-25381,2020-12-15,2020,4,12,December,2020-12,1,1,Dawn Webb,Peoria,Illinois,Office Supplies,Markers,EMI,13,4220.0,945.0
160,B-26679,2020-12-15,2020,4,12,December,2020-12,1,1,Matthew Schroeder,Cleveland,Ohio,Office Supplies,Markers,UPI,5,8102.0,1800.0
161,B-26679,2020-12-15,2020,4,12,December,2020-12,1,1,Matthew Schroeder,Cleveland,Ohio,Furniture,Tables,EMI,10,3234.0,1274.0
162,B-25590,2020-12-16,2020,4,12,December,2020-12,1,1,Darrell Ramos,Rochester,New York,Office Supplies,Binders,Debit Card,6,8305.0,1577.0
163,B-25192,2020-12-17,2020,4,12,December,2020-12,1,1,Ashley Wright,Cleveland,Ohio,Furniture,Bookcases,EMI,13,3309.0,177.0
164,B-25382,2020-12-21,2020,4,12,December,2020-12,1,1,Joshua Rojas,Miami,Florida,Office Supplies,Markers,UPI,15,7019.0,2677.0
165,B-26347,2020-12-21,2020,4,12,December,2020-12,1,1,Mary Smith,Miami,Florida,Furniture,Bookcases,UPI,7,8586.0,3826.0
166,B-25996,2020-12-23,2020,4,12,December,2020-12,1,1,Jennifer Clark,Austin,Texas,Furniture,Tables,UPI,14,714.0,232.0
167,B-25436,2020-12-24,2020,4,12,December,2020-12,1,1,Andre Fernandez,Orlando,Florida,Office Supplies,Markers,COD,3,8044.0,3634.0
168,B-26912,2020-12-27,2020,4,12,December,2020-12,1,1,Patrick Hensley Md,Cincinnati,Ohio,Furniture,Tables,Debit Card,9,8752.0,1686.0
169,B-25715,2020-12-31,2020,4,12,December,2020-12,1,1,Alicia Vincent,Cincinnati,Ohio,Furniture,Tables,Debit Card,19,6089.0,139.0
170,B-25715,2020-12-31,2020,4,12,December,2020-12,1,1,Alicia Vincent,Cincinnati,Ohio,Furniture,Tables,UPI,16,2586.0,800.0
171,B-25715,2020-12-31,2020,4,12,December,2020-12,1,1,Alicia Vincent,Cincinnati,Ohio,Office Supplies,Paper,UPI,9,3757.0,1626.0
172,B-25713,2021-01-03,2021,1,1,January,2021-01,1,1,Peggy Campos,Buffalo,New York,Electronics,Phones,Credit Card,8,2280.0,509.0
173,B-26804,2021-01-03,2021,1,1,January,2021-01,1,1,Morgan Sellers,Los Angeles,California,Office Supplies,Pens,Debit Card,8,914.0,400.0
174,B-26804,2021-01-03,2021,1,1,January,2021-01,1,1,Morgan Sellers,Los Angeles,California,Office Supplies,Paper,Credit Card,3,1548.0,666.0
175,B-25159,2021-01-04,2021,1,1,January,2021-01,1,1,Marie James,Buffalo,New York,Office Supplies,Markers,UPI,16,5338.0,1354.0
176,B-25841,2021-01-19,2021,1,1,January,2021-01,1,1,Jacob Meyer,Peoria,Illinois,Office Supplies,Pens,EMI,8,782.0,374.0
177,B-25841,2021-01-19,2021,1,1,January,2021-01,1,1,Jacob Meyer,Peoria,Illinois,Electronics,Laptops,UPI,1,4371.0,1852.0
178,B-26069,2021-01-21,2021,1,1,January,2021-01,1,1,Stephen Baker,Columbus,Ohio,Office Supplies,Markers,EMI,11,838.0,271.0
179,B-26069,2021-01-21,2021,1,1,January,2021-01,1,1,Stephen Baker,Columbus,Ohio,Furniture,Tables,UPI,2,3577.0,699.0
180,B-26864,2021-01-30,2021,1,1,January,2021-01,1,1,Collin Cameron,San Francisco,California,Electronics,Electronic Games,UPI,5,2539.0,324.0
181,B-25388,2021-02-04,2021,1,2,February,2021-02,1,1,Sara Castro,Chicago,Illinois,Furniture,Sofas,EMI,13,5047.0,2211.0
182,B-25011,2021-02-06,2021,1,2,February,2021-02,1,1,Steven Keith,San Francisco,California,Furniture,Sofas,UPI,15,3913.0,961.0
